MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL1908360	Everolimus	Small molecule	2009	L04AA18; L01XE10	L04AA18 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Selective immunosuppressants]; L01XE10 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors]	-imus	FK506-binding protein 1A inhibitor			CHEMBL1902	FK506-binding protein 1A	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=2150f73a-179b-4afc-b8ce-67c85cc72f04#section-13, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2150f73a-179b-4afc-b8ce-67c85cc72f04#section-13	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OCCO
CHEMBL439849	Vilazodone	Small molecule	2011	N06AX24	N06AX24 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants]		Serotonin transporter inhibitor			CHEMBL228	Serotonin transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:15740724, URL:http://europepmc.org/abstract/MED/15740724|Name:FDA, SrcID:label/2012/022567s005lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022567s005lbl.pdf	NC(=O)c1oc2ccc(cc2c1)N3CCN(CCCCc4c[nH]c5ccc(cc45)C#N)CC3
CHEMBL1201616	Secretin Synthetic Porcine	Protein	2002			-retin	Secretin receptor agonist			CHEMBL1925	Secretin receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b4dfe70f-0a86-4488-9ba1-dcd8f86cbfcd	
CHEMBL1200810	Doxercalciferol	Small molecule	1999	H05BX03	H05BX03 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: CALCIUM HOMEOSTASIS: ANTI-PARATHYROID AGENTS: Other anti-parathyroid agents]	-calci-	Vitamin D receptor agonist			CHEMBL1977	Vitamin D receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:20967888, URL:http://europepmc.org/abstract/MED/20967888|Name:PubMed, SrcID:21647319, URL:http://europepmc.org/abstract/MED/21647319|Name:DailyMed, SrcID:setid=dc676bc5-f3f7-4755-92e1-1814498c1f4f, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dc676bc5-f3f7-4755-92e1-1814498c1f4f|Name:PubMed, SrcID:21209008, URL:http://europepmc.org/abstract/MED/21209008	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C
CHEMBL278020	Neostigmine	Small molecule	2013	N07AA51; N07AA01; S01EB06	N07AA51 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: PARASYMPATHOMIMETICS: Anticholinesterases]; N07AA01 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: PARASYMPATHOMIMETICS: Anticholinesterases]; S01EB06 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Parasympathomimetics]	-stigmine	Acetylcholinesterase inhibitor			CHEMBL220	Acetylcholinesterase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=79ee2111-d65c-11e1-9b23-0800200c9a66#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=79ee2111-d65c-11e1-9b23-0800200c9a66#nlm34090-1	CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C
CHEMBL1538	Tenofovir Disoproxil	Small molecule	2001	J05AF07	J05AF07 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIVIRALS FOR SYSTEMIC USE: DIRECT ACTING ANTIVIRALS: Nucleoside and nucleotide reverse transcriptase inhibitors]	-vir	Human immunodeficiency virus type 1 reverse transcriptase inhibitor			CHEMBL247	Human immunodeficiency virus type 1 reverse transcriptase	INHIBITOR	Human immunodeficiency virus 1	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=33fd6418-fbdc-42ca-a50d-ce2a476a5418, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=33fd6418-fbdc-42ca-a50d-ce2a476a5418	CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C
CHEMBL1561	Miglitol	Small molecule	1996	A10BF02	A10BF02 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Alpha glucosidase inhibitors]		Lysosomal alpha-glucosidase inhibitor			CHEMBL2608	Lysosomal alpha-glucosidase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=75711d16-2d27-476e-a312-d5af448a0e25#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=75711d16-2d27-476e-a312-d5af448a0e25#nlm34090-1|Name:PubMed, SrcID:23185202, URL:http://europepmc.org/abstract/MED/23185202	OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
CHEMBL1789941	Ruxolitinib	Small molecule	2011	L01XE18	L01XE18 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Protein kinase inhibitors]	-tinib	Tyrosine-protein kinase JAK2 inhibitor			CHEMBL2971	Tyrosine-protein kinase JAK2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2012/202192s001lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/202192s001lbl.pdf	N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34
CHEMBL2108184	Crofelemer	Small molecule	2012			-mer	Cystic fibrosis transmembrane conductance regulator inhibitor			CHEMBL4051	Cystic fibrosis transmembrane conductance regulator	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=684ca8ce-2583-4c2d-a283-8a16fc63f8f8#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=684ca8ce-2583-4c2d-a283-8a16fc63f8f8#nlm34090-1	
CHEMBL1200807	Norelgestromin	Small molecule	2001			-gest-	Progesterone receptor agonist			CHEMBL208	Progesterone receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=f8e8a69e-a018-469a-af56-e20f61fe4e06#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f8e8a69e-a018-469a-af56-e20f61fe4e06#nlm34090-1	CC[C@]12CC[C@H]3[C@@H](CCC4=C\C(=N\O)\CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
CHEMBL1111	Ambrisentan	Small molecule	2007	C02KX02	C02KX02 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: OTHER ANTIHYPERTENSIVES: Antihypertensives for pulmonary arterial hypertension]	-entan	Endothelin receptor, ET-A/ET-B antagonist			CHEMBL2096678	Endothelin receptor, ET-A/ET-B	ANTAGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=725d4e73-6c83-477a-adc6-0ae4a133a844#section-14, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=725d4e73-6c83-477a-adc6-0ae4a133a844#section-14	COC([C@H](Oc1nc(C)cc(C)n1)C(=O)O)(c2ccccc2)c3ccccc3
CHEMBL956	Suprofen	Small molecule	1985	M01AE07	M01AE07 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Propionic acid derivatives]	-profen	Cyclooxygenase inhibitor			CHEMBL2094253	Cyclooxygenase	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:10377455, URL:http://europepmc.org/abstract/MED/10377455	CC(C(=O)O)c1ccc(cc1)C(=O)c2cccs2
CHEMBL628	Pentoxifylline	Small molecule	1984	C04AD03	C04AD03 [CARDIOVASCULAR SYSTEM: PERIPHERAL VASODILATORS: PERIPHERAL VASODILATORS: Purine derivatives]	-fylline	Adenosine A2 receptor antagonist			CHEMBL2094257	Adenosine A2 receptor	ANTAGONIST	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:19997047, URL:http://europepmc.org/abstract/MED/19997047|Name:FDA, SrcID:label/2012/018631s039lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/018631s039lbl.pdf|Name:Wikipedia, SrcID:Pentoxifylline, URL:http://en.wikipedia.org/wiki/Pentoxifylline	CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C
CHEMBL817	Tolazamide	Small molecule	1966	A10BB05	A10BB05 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS: Sulfonylureas]		Sulfonylurea receptor 1, Kir6.2 blocker			CHEMBL2096972	Sulfonylurea receptor 1, Kir6.2	BLOCKER	Homo sapiens	PROTEIN COMPLEX			Name:PubMed, SrcID:10354277, URL:http://europepmc.org/abstract/MED/10354277|Name:PubMed, SrcID:8799949, URL:http://europepmc.org/abstract/MED/8799949	Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
CHEMBL1760	Terbutaline	Small molecule	1974	R03CC03; R03AC03; R03CC53	R03CC03 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: ADRENERGICS FOR SYSTEMIC USE: Selective beta-2-adrenoreceptor agonists]; R03AC03 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: ADRENERGICS, INHALANTS: Selective beta-2-adrenoreceptor agonists]; R03CC53 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: ADRENERGICS FOR SYSTEMIC USE: Selective beta-2-adrenoreceptor agonists]		Beta-2 adrenergic receptor agonist			CHEMBL210	Beta-2 adrenergic receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:archiveid=43109, URL:http://www.dailymed.nlm.nih.gov/dailymed/archives/fdaDrugInfo.cfm?archiveid=43109|Name:DailyMed, SrcID:setid=586cbc83-85d1-cd0f-d4a2-39b20dbcc82f#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=586cbc83-85d1-cd0f-d4a2-39b20dbcc82f#nlm34090-1	CC(C)(C)NCC(O)c1cc(O)cc(O)c1
CHEMBL1138	Ezetimibe	Small molecule	2002	C10AX09	C10AX09 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Other lipid modifying agents]	-imibe	Niemann-Pick C1-like protein 1 inhibitor			CHEMBL2027	Niemann-Pick C1-like protein 1	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=1396b8b6-651a-4f2f-a2c1-0165173b2eff#section-12, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1396b8b6-651a-4f2f-a2c1-0165173b2eff#section-12	O[C@@H](CC[C@@H]1[C@H](N(C1=O)c2ccc(F)cc2)c3ccc(O)cc3)c4ccc(F)cc4
CHEMBL374478	Rifampicin	Small molecule	1971	J04AB02	J04AB02 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Antibiotics]	rifa-	Bacterial DNA-directed RNA polymerase inhibitor			CHEMBL2364672	Bacterial DNA-directed RNA polymerase	INHIBITOR	Bacteria	PROTEIN COMPLEX	RNA polymerase beta/beta prime subunit	Beta subunit is binding site	Name:PubMed, SrcID:20185278, URL:http://europepmc.org/abstract/MED/20185278|Name:PubMed, SrcID:4942761, URL:http://europepmc.org/abstract/MED/4942761|Name:PubMed, SrcID:11290327, URL:http://europepmc.org/abstract/MED/11290327|Name:Wikipedia, SrcID:Rifampin#Mechanism_of_action, URL:http://en.wikipedia.org/wiki/Rifampin#Mechanism_of_action	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O
CHEMBL452	Clonazepam	Small molecule	1975	N03AE01	N03AE01 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Benzodiazepine derivatives]	-azepam	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:PubMed, SrcID:18384456, URL:http://europepmc.org/abstract/MED/18384456|Name:PubMed, SrcID:6135616, URL:http://europepmc.org/abstract/MED/6135616|Name:PubMed, SrcID:3034628, URL:http://europepmc.org/abstract/MED/3034628|Name:Wikipedia, SrcID:Clonazepam#Mechanism_of_action, URL:http://en.wikipedia.org/wiki/Clonazepam#Mechanism_of_action	[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
CHEMBL580	Lorazepam	Small molecule	1977	N05BA06; N05BA56	N05BA06 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives]; N05BA56 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANXIOLYTICS: Benzodiazepine derivatives]	-azepam	GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:PubMed, SrcID:18384456, URL:http://europepmc.org/abstract/MED/18384456|Name:Wikipedia, SrcID:Lorazepam, URL:http://en.wikipedia.org/wiki/Lorazepam|Name:PubMed, SrcID:2570451, URL:http://europepmc.org/abstract/MED/2570451	OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O
CHEMBL507674	Cefoperazone	Small molecule	1982	J01DD12; J01DD62	J01DD12 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: Third-generation cephalosporins]; J01DD62 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER BETA-LACTAM ANTIBACTERIALS: Third-generation cephalosporins]	cef-	Bacterial penicillin-binding protein inhibitor			CHEMBL2354204	Bacterial penicillin-binding protein	INHIBITOR	Bacteria	PROTEIN FAMILY			Name:PubMed, SrcID:6448021, URL:http://europepmc.org/abstract/MED/6448021	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)CSc4nnnn4C)c5ccc(O)cc5)C(=O)C1=O
CHEMBL1201561	Peginterferon Alfa-2b	Protein	2001	L03AB10; L03AB60	L03AB10 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSTIMULANTS: IMMUNOSTIMULANTS: Interferons]; L03AB60 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSTIMULANTS: IMMUNOSTIMULANTS: Interferons]	peg-	Interferon alpha/beta receptor agonist			CHEMBL2364170	Interferon alpha/beta receptor	AGONIST	Homo sapiens	PROTEIN COMPLEX		Alpha subunit is binding site	Name:PubMed, SrcID:17969444, URL:http://europepmc.org/abstract/MED/17969444|Name:DailyMed, SrcID:setid=de61685e-2b8c-4e22-84bb-869e13600440, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=de61685e-2b8c-4e22-84bb-869e13600440	
CHEMBL1289	Haloprogin	Small molecule	1982	D01AE11	D01AE11 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Other antifungals for topical use]		Cell membrane inhibitor	Disrupts cell membrane		CHEMBL2364033	Cell membrane	INHIBITOR	Trichophyton	SUBCELLULAR			Name:PubMed, SrcID:4608935, URL:http://europepmc.org/abstract/MED/4608935	Clc1cc(Cl)c(OCC#CI)cc1Cl
CHEMBL744	Riluzole	Small molecule	1995	N07XX02	N07XX02 [NERVOUS SYSTEM: OTHER NERVOUS SYSTEM DRUGS: OTHER NERVOUS SYSTEM DRUGS: Other nervous system drugs]		Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=e49d207d-8e32-4183-94ba-cd264f124090#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e49d207d-8e32-4183-94ba-cd264f124090#nlm34090-1|Name:PubMed, SrcID:9262334, URL:http://europepmc.org/abstract/MED/9262334	Nc1nc2ccc(OC(F)(F)F)cc2s1
CHEMBL856	Primidone	Small molecule	1954	N03AA03	N03AA03 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Barbiturates and derivatives]		Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:ISBN, SrcID:9780702034718 PP. 546-548, URL:http://www.isbnsearch.org/isbn/9780702034718	CCC1(C(=O)NCNC1=O)c2ccccc2
CHEMBL42	Clozapine	Small molecule	1989	N05AH02	N05AH02 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Diazepines, oxazepines, thiazepines and oxepines]	-pin(e)	Dopamine D2 receptor antagonist			CHEMBL217	Dopamine D2 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:ISBN, SrcID:0443059748, URL:http://www.isbnsearch.org/isbn/0443059748|Name:Wikipedia, SrcID:Clozapine, URL:http://en.wikipedia.org/wiki/Clozapine|Name:DailyMed, SrcID:setid=53bdb79c-c4cf-4818-b1f0-225e67a14536#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=53bdb79c-c4cf-4818-b1f0-225e67a14536#nlm34090-1|Name:PubMed, SrcID:17015232, URL:http://europepmc.org/abstract/MED/17015232	CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
CHEMBL2021423	Magnesium Sulfate Anhydrous	Small molecule	1981				Unknown										Name:FDA, SrcID:label/2012/022372s004lbledt.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/022372s004lbledt.pdf	[Mg+2].[O-]S(=O)(=O)[O-]
CHEMBL1201330	Mersalyl	Small molecule				-sal-	Unknown										Name:PubMed, SrcID:1850465, URL:http://europepmc.org/abstract/MED/1850465	
CHEMBL1201313	Chlophedianol	Small molecule	1982	R05DB10	R05DB10 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS: Other cough suppressants]		Unknown	Antitussive drug; probable action in the CNS cough centre									Name:PubMed, SrcID:15491779, URL:http://europepmc.org/abstract/MED/15491779|Name:Wikipedia, SrcID:Chlophedianol, URL:http://en.wikipedia.org/wiki/Chlophedianol|Name:PubMed, SrcID:18294576, URL:http://europepmc.org/abstract/MED/18294576|Name:PubMed, SrcID:20326564, URL:http://europepmc.org/abstract/MED/20326564	CN(C)CCC(O)(c1ccccc1)c2ccccc2Cl
CHEMBL1187833	Umeclidinium	Small molecule	2013			-clidinium; -ium	Muscarinic acetylcholine receptor M3 antagonist	Indicated for COPD, M3 responsible		CHEMBL245	Muscarinic acetylcholine receptor M3	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2013/203975s000lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/203975s000lbl.pdf	OC(c1ccccc1)(c2ccccc2)C34CC[N+](CCOCc5ccccc5)(CC3)CC4
CHEMBL2108311	Asfotase Alfa	Enzyme	2015	A16AB13	A16AB13 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Enzymes]	-ase; -fo-	Pyrophosphate hydrolytic enzyme	First-in-class enzyme replacement therapy of TNSALP in case of hypophosphatasia (HPP)		CHEMBL3545435	Pyrophosphate	HYDROLYTIC ENZYME		SMALL MOLECULE			Name:PubMed, SrcID:22397652, URL:http://europepmc.org/abstract/MED/22397652|Name:DailyMed, SrcID:setid=3387574f-5eaa-4501-a71d-4cbfbd563031, URL:http://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3387574f-5eaa-4501-a71d-4cbfbd563031	
CHEMBL1801204	Azd-8055	Small molecule					Serine/threonine-protein kinase mTOR inhibitor	ATP-competitive mTORC1/mTORC2 inhibitor		CHEMBL2842	Serine/threonine-protein kinase mTOR	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:20028854, URL:http://europepmc.org/abstract/MED/20028854	COc1ccc(cc1CO)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C
CHEMBL3545133	Jnj-26483327	Small molecule					Vascular endothelial growth factor receptor 3 inhibitor	Multi-targeted tyrosine kinase inhibitor		CHEMBL1955	Vascular endothelial growth factor receptor 3	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DOI, SrcID:10.1016/S1359-6349(10)71870-X, URL:http://www.sciencedirect.com/science/article/pii/S135963491071870X|Name:PubMed, SrcID:20823884, URL:http://europepmc.org/abstract/MED/20823884	
CHEMBL3544927	L-21649	Small molecule					Vascular endothelial growth factor receptor inhibitor	No further data/studies for the compound found.		CHEMBL2095227	Vascular endothelial growth factor receptor	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:Other, SrcID:http://www.ucb.com/_up/ucb_com_rd/documents/External_poster.pdf, URL:http://www.ucb.com/_up/ucb_com_rd/documents/External_poster.pdf	
CHEMBL3348923	Mln-2480	Small molecule					RAF serine/threonine protein kinase inhibitor			CHEMBL3559685	RAF serine/threonine protein kinase	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:Other, SrcID:http://www.sunesis.com/products-in-development/product/MLN2480.php, URL:http://www.sunesis.com/products-in-development/product/MLN2480.php|Name:PubMed, SrcID:5653214, URL:http://europepmc.org/abstract/MED/5653214|Name:Other, SrcID:http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=710688, URL:http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=710688	C[C@@H](NC(=O)c1ncnc(N)c1Cl)c2ncc(s2)C(=O)Nc3cc(c(Cl)cn3)C(F)(F)F
CHEMBL3545009	Pbf-509	Small molecule					Adenosine A2a receptor antagonist			CHEMBL251	Adenosine A2a receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:Other, SrcID:http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=770798, URL:http://www.cancer.gov/publications/dictionaries/cancer-drug?cdrid=770798	
CHEMBL3545272	Las190792	Small molecule					Beta-2 adrenergic receptor agonist	Dual acting MABA (beta 2 adrenergic receptor agonists; Muscarinic receptor antagonists)		CHEMBL210	Beta-2 adrenergic receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:Other, SrcID:http://www.almirall.com/en/about-almirall/research-and-development/pipeline, URL:http://www.almirall.com/en/about-almirall/research-and-development/pipeline|Name:Other, SrcID:http://www.atsjournals.org/doi/abs/10.1164/ajrccm-conference.2014.189.1_MeetingAbstracts.A3767, URL:http://www.atsjournals.org/doi/abs/10.1164/ajrccm-conference.2014.189.1_MeetingAbstracts.A3767	
CHEMBL3545088	Puquitinib	Small molecule				-tinib	Vascular endothelial growth factor receptor 2 inhibitor	Compound is most potent against PIK3CD, low potency against EGFR, KDR and PDGFRB		CHEMBL279	Vascular endothelial growth factor receptor 2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:26499488, URL:http://europepmc.org/abstract/MED/26499488|Name:DOI, SrcID:10.1158/1538-7445.AM2011-4245, URL:http://cancerres.aacrjournals.org/content/71/8_Supplement/4245|Name:PubMed, SrcID:26510909, URL:http://europepmc.org/abstract/MED/26510909	
CHEMBL3545332	Cep-2563	Small molecule					Platelet-derived growth factor receptor beta inhibitor			CHEMBL1913	Platelet-derived growth factor receptor beta	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:9259409, URL:http://europepmc.org/abstract/MED/9259409|Name:PubMed, SrcID:10344749, URL:http://europepmc.org/abstract/MED/10344749|Name:PubMed, SrcID:15292715, URL:http://europepmc.org/abstract/MED/15292715	
CHEMBL198877	Equol	Small molecule					Estrogen receptor beta agonist			CHEMBL242	Estrogen receptor beta	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:Other, SrcID:http://www.ausiopharma.com/TechPages/TechOverview.html, URL:http://www.ausiopharma.com/TechPages/TechOverview.html	Oc1ccc(cc1)[C@H]2COc3cc(O)ccc3C2
CHEMBL1230609	Foretinib	Small molecule				-tinib	Stem cell growth factor receptor inhibitor			CHEMBL1936	Stem cell growth factor receptor	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:Other, SrcID:http://www.exelixis.com/pipeline/xl880, URL:http://www.exelixis.com/pipeline/xl880|Name:PubMed, SrcID:19808973, URL:http://europepmc.org/abstract/MED/19808973	COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3F)ccnc2cc1OCCCN6CCOCC6
CHEMBL558752	Chir-265	Small molecule					Vascular endothelial growth factor receptor 2 inhibitor			CHEMBL279	Vascular endothelial growth factor receptor 2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:26396681, URL:http://europepmc.org/abstract/MED/26396681|Name:PubMed, SrcID:23617957, URL:http://europepmc.org/abstract/MED/23617957	Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13
CHEMBL1631540	Gsk163090	Small molecule					Serotonin transporter antagonist			CHEMBL228	Serotonin transporter	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:21053897, URL:http://europepmc.org/abstract/MED/21053897	Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc(c4)N5CCNC5=O)CC3
